Paro,NULL,Bhutan,PBH ,Paro
Agra,Uttar Pradesh,India,AGR ,Agra
Agatti,Lakshadweep,India,AGX ,Agatti
Aizwal,Mizoram,India,AJL ,Aizwal
Ahmedabad,Gujarat,India,AMD ,Ahmedabad
Amritsar,Punjab,India,ATQ ,Amritsar
Bhubaneswar,Orissa,India,BBI ,Bhubaneswar
Vadodara,Gujarat,India,BDQ ,Vadodara
Bhuj,Gujarat,India,BHJ ,Bhuj
Bhopal,Madhya Pradesh,India,BHO ,Bhopal
Bhavnagar,Gujarat,India,BHU ,Bhavnagar
Bangalore,Karnataka,India,BLR,Bangalore airport
Bangalore,Karnataka,India,BLR ,Bangalore
Mumbai,Maharashtra,India,BOM,International terminal
Mumbai,Maharashtra,India,BOM,Domestic airport
Kozhikode,Kerala,India,CCJ ,Kozhikode
Kolkata,West Bengal,India,CCU ,Kolkata
Coimbatore,Tamil Nadu,India,CJB ,Coimbatore
Kochi,Kerala,India,COK ,Kochi
Dehra Dun,Uttarakhand,India,DEH ,Dehra Dun
Delhi,Delhi,India,DEL,Indira Gandhi International airport
Delhi,Delhi,India,DEL,Domestic airport
Dharamsala,Himachal Pradesh,India,DHR ,Dharamsala
Dibrugarh,Assam,India,DIB ,Dibrugarh
Diu,Diu,India,DIU ,Diu
Dimapur,Nagaland,India,DMU ,Dimapur
Guwahati,Assam,India,GAU ,Guwahati
Goa,Goa,India,GOI ,Goa
Gwalior,Madhya Pradesh,India,GWL ,Gwalior
Khajuraho,Madhya Pradesh,India,HJR ,Khajuraho
Hyderabad,Telengana,India,HYD ,Hyderabad
Indore,Madhya Pradesh,India,IDR ,Indore
Imphal,Manipur,India,IMF ,Imphal
Agartala,Tripura,India,IXA ,Agartala
Bagdogra,West Bengal,India,IXB ,Bagdogra
Chandigarh,Chandigarh,India,IXC ,Chandigarh
Mangalore,Karnataka,India,IXE ,Mangalore
Jammu,Jammu & Kashmir,India,IXJ ,Jammu
Keshod,Gujarat,India,IXK ,Keshod
Leh,Ladakh,India,IXL ,Leh
Madurai,Tamil Nadu,India,IXM ,Madurai
Ranchi,Jharkhand,India,IXR ,Ranchi
Silchar,Assam,India,IXS ,Silchar
Aurangabad,Maharashtra,India,IXU ,Aurangabad
Port Blair,Andaman & Nicobar,India,IXZ ,Port Blair
Jabalpur,Madhya Pradesh,India,JAB ,Jabalpur
Jaipur,Rajasthan,India,JAI ,Jaipur
Jaisalmer,Rajasthan,India,JAS ,Jaisalmer
Jodhpur,Rajasthan,India,JDH ,Jodhpur
Jamnagar,Gujarat,India,JGA ,Jamnagar
Jorhat,Assam,India,JRH ,Jorhat
Kullu,Himachal Pradesh,India,KUU ,Kullu
Lucknow,Uttar Pradesh,India,LKO ,Lucknow
Chennai,Tamil Nadu,India,MAA ,Chennai
Nagpur,Maharashtra,India,NAG ,Nagpur
Patna,Bihar,India,PAT ,Patna
Porbandar,Gujarat,India,PBD ,Porbandar
Pune,Maharashtra,India,PNQ ,Pune
Puttaparthy,Andhra Pradesh,India,PUT ,Puttaparthy
Rajkot,Gujarat,India,RAJ ,Rajkot
Raipur,Chhattisgarh,India,RPR ,Raipur
Shimla,Himachal Pradesh,India,SLV ,Shimla
Srinagar,Jammu & Kashmir,India,SXR ,Srinagar
Tezpur,Assam,India,TEZ ,Tezpur
Tirupati,Andhra Pradesh,India,TIR ,Tirupati
Trivandrum,Kerala,India,TRV ,Thiruvananthapuram
Tiruchirappalli,Tamil Nadu,India,TRZ ,Tiruchirappalli
Udaipur,Rajasthan,India,UDR ,Udaipur
Varanasi,Uttar Pradesh,India,VNS ,Varanasi
Visakhapatnam,Andhra Pradesh,India,VTZ ,Visakhapatnam
Virudhunagar,Tamil Nadu,India,VRD ,Virudhunagar
Male,NULL,Maldives,MLE ,Male
Kathmandu,NULL,Nepal,KTM ,Kathmandu
Pokhara,NULL,Nepal,PKR ,Pokhara
Lukla,NULL,Nepal,LUA ,Lukla
Phaplu,NULL,Nepal,PPL ,Phaplu
Biratnagar,NULL,Nepal,BIR ,Biratnagar
Bhairahawa,NULL,Nepal,BWA ,Bhairawa
Bhadrapur,NULL,Nepal,BDP ,Bhadrapur
Nepalgunj,NULL,Nepal,KEP ,Nepalgunj
Bharatpur,NULL,Nepal,BHR ,Bharatpur (Nepal)
