state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesentrancefees_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Chandigarh,Chandigarh,Summit Adventures,Half-day sightseeing of Chandigarh,6963,2144,00:00.0,2019-10-01T00:00:00,,,,,,165,,2826,6963,1,35,60,0,Rock Garden,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Half-day sightseeing of Chandigarh,6963,2144,00:00.0,2019-10-01T00:00:00,,,,,,165,,2827,6963,1,35,200,0,Permission to Capitol Complex,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Full Day Sightseeing of Chandigarh,6964,2144,00:00.0,2019-10-01T00:00:00,,,,0,0,165,,2828,6964,1,35,60,0,Rock Garden,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Full Day Sightseeing of Chandigarh,6964,2144,00:00.0,2019-10-01T00:00:00,,,,0,0,165,,2829,6964,1,35,200,0,Permission to Capitol Complex,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2946,7124,1,35,500,0,Red Fort,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2947,7124,1,35,30,0,Red Fort,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2948,7124,1,35,100,0,Jama Mashid,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2949,7124,1,35,10,0,Jama Mashid,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2950,7124,1,35,500,0,Humayun's Tomb,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2951,7124,1,35,30,0,Humayun's Tomb,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2952,7124,1,35,500,0,Qutab Minar,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2953,7124,1,35,30,0,Qutab MInar,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2954,7124,1,35,200,0,Tughlakabad,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2955,7124,1,35,15,0,Tughlakabad,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2936,7122,1,35,500,0,Red Fort,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2937,7122,1,35,30,0,Red Fort,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2938,7122,1,35,100,0,Jama Mashid,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2939,7122,1,35,10,0,Jama Mashid,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2940,7123,1,35,500,0,Humayun's Tomb,13,2,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2941,7123,1,35,30,0,Humayun's Tom,13,1,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,00:00.0,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,2942,7123,1,35,500,0,Qutab Minar,13,2,,0
