state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesguides_id,costservices_id,frompax,topax,cost,tourleaderfree,remarks,currencies_id,resident,SpecialGst,nett
Bihar,Bodh Gaya,Steps India Tours,Half-day tour of Bodh Gaya,7303,2694,992,2019-10-01T00:00:00,,,0,0,0,59,1409,4939,7303,1,5,1800,0,,13,4,,0
Bihar,Bodh Gaya,Steps India Tours,Half-day tour of Bodh Gaya,7303,2694,992,2019-10-01T00:00:00,,,0,0,0,59,1409,4940,7303,6,14,2200,0,,13,4,,0
Bihar,Bodh Gaya,Steps India Tours,Half-day tour of Bodh Gaya,7303,2694,992,2019-10-01T00:00:00,,,0,0,0,59,1409,4941,7303,15,35,2900,0,,13,4,,0
Bihar,Bodh Gaya,Steps India Tours,Full day tour of Bodh Gaya,7304,2694,1040,2019-10-01T00:00:00,,,0,0,0,59,1410,4942,7304,1,5,2200,0,,13,4,,0
Bihar,Bodh Gaya,Steps India Tours,Full day tour of Bodh Gaya,7304,2694,1040,2019-10-01T00:00:00,,,0,0,0,59,1410,4943,7304,6,14,2850,0,,13,4,,0
Bihar,Bodh Gaya,Steps India Tours,Full day tour of Bodh Gaya,7304,2694,1040,2019-10-01T00:00:00,,,0,0,0,59,1410,4944,7304,15,35,3800,0,,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Half-day sightseeing of Chandigarh,6963,2144,1201,2019-10-01T00:00:00,,,,,,165,,4757,6963,1,2,2000,0,,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Half-day sightseeing of Chandigarh,6963,2144,1201,2019-10-01T00:00:00,,,,,,165,,4758,6963,3,15,2500,0,,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Full Day Sightseeing of Chandigarh,6964,2144,1202,2019-10-01T00:00:00,,,,0,0,165,,4759,6964,1,2,2500,0,,13,4,,0
Chandigarh,Chandigarh,Summit Adventures,Full Day Sightseeing of Chandigarh,6964,2144,1202,2019-10-01T00:00:00,,,,0,0,165,,4760,6964,3,15,3000,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4850,7124,1,5,2750,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day city tour of Old & New Delhi,7124,2890,696,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4851,7124,6,14,3465,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,4852,7125,1,5,2750,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Full-day tour of New Delhi,7125,2890,1120,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,0,0,103,,4853,7125,6,14,3465,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4846,7122,1,5,2310,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of Old Delhi,7122,2890,611,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4847,7122,6,14,2750,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4848,7123,1,5,2310,0,,13,4,,0
Delhi,Delhi,Ramico Tours & Travels Pvt. Ltd.,Half-day tour of New Delhi,7123,2890,612,2019-10-01T00:00:00,Delhi Guide provided by Kaustubh Holidays in Jaipur,,,,,103,,4849,7123,6,14,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full day tour of Old Delhi by metro & rickshaw,6999,2170,1119,2019-10-01T00:00:00,,,,0,0,103,,4789,6999,1,5,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full day tour of Old Delhi by metro & rickshaw,6999,2170,1119,2019-10-01T00:00:00,,,,0,0,103,,4790,6999,6,14,3465,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi by metro & rickshaw,6995,2170,1038,2019-10-01T00:00:00,Red Fort is closed on Mondays,,,0,0,103,,4781,6995,1,5,2310,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi by metro & rickshaw,6995,2170,1038,2019-10-01T00:00:00,Red Fort is closed on Mondays,,,0,0,103,,4782,6995,6,14,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,612,2019-10-01T00:00:00,,,0,0,0,103,1397,4783,6996,1,5,2310,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of New Delhi,6996,2170,612,2019-10-01T00:00:00,,,0,0,0,103,1397,4784,6996,6,14,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi,6997,2170,611,2019-10-01T00:00:00,Red Fort is closed on Mondays  ,,0,0,0,103,1398,4785,6997,1,5,2310,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi,6997,2170,611,2019-10-01T00:00:00,Red Fort is closed on Mondays  ,,0,0,0,103,1398,4786,6997,6,14,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,696,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,4787,6998,1,5,2750,0,,13,4,,0
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full-day city tour of Old & New Delhi,6998,2170,696,2019-10-01T00:00:00,Red Fort is closed on Mondays,,0,0,0,103,1399,4788,6998,6,14,3465,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6883,142,272,2020-01-04T00:00:00,The above rates are not applicable from 23 Dec to 03 Jan,0,,,,139,146,4733,6883,1,4,1750,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6883,142,272,2020-01-04T00:00:00,The above rates are not applicable from 23 Dec to 03 Jan,0,,,,139,146,4734,6883,5,20,2900,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6882,142,272,2019-12-23T00:00:00,,0,,,,139,146,4731,6882,1,4,1750,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6882,142,272,2019-12-23T00:00:00,,0,,,,139,146,4732,6882,5,20,2900,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6881,142,272,2019-10-01T00:00:00,The above rates are not applicable from 23 Dec to 03 Jan,0,,,,139,146,4729,6881,1,4,1750,0,,13,4,,0
Goa,Goa,Vailankanni Auto Hires,Half-day city tour of Panjim and the Churches of Old Goa,6881,142,272,2019-10-01T00:00:00,The above rates are not applicable from 23 Dec to 03 Jan,0,,,,139,146,4730,6881,5,20,2900,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Afternoon visit to Gandhi's Sabarmati Ashram & Law Garden Market,7057,2924,1076,2019-10-01T00:00:00,,,,0,0,12,,4814,7057,1,4,2500,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Afternoon visit to Gandhi's Sabarmati Ashram & Law Garden Market,7057,2924,1076,2019-10-01T00:00:00,,,,0,0,12,,4815,7057,5,14,3000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Afternoon visit to Gandhi's Sabarmati Ashram & Law Garden Market,7057,2924,1076,2019-10-01T00:00:00,,,,0,0,12,,4816,7057,15,35,3500,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day city tour of Ahmedabad,7050,2924,300,2019-10-01T00:00:00,,,,0,0,12,,4805,7050,1,4,3000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day city tour of Ahmedabad,7050,2924,300,2019-10-01T00:00:00,,,,0,0,12,,4806,7050,5,14,3500,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day city tour of Ahmedabad,7050,2924,300,2019-10-01T00:00:00,,,,0,0,12,,4807,7050,15,35,4000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day excursion to Patan & Modhera,7051,2924,301,2019-10-01T00:00:00,,,,0,0,12,,4808,7051,1,10,3000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Full day sightseeing of Adalaj Stepwell and Huthesingh Jain Temples,7052,2924,1010,2019-10-01T00:00:00,,,,0,0,12,,4809,7052,1,10,3000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Half day city tour of Ahmedabad,7053,2924,299,2019-10-01T00:00:00,,,,0,0,12,,4810,7053,1,4,3000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Half day city tour of Ahmedabad,7053,2924,299,2019-10-01T00:00:00,,,,0,0,12,,4811,7053,5,14,3500,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Half day city tour of Ahmedabad,7053,2924,299,2019-10-01T00:00:00,,,,0,0,12,,4812,7053,15,35,4000,0,,13,4,,0
Gujarat,Ahmedabad,Indo West Tours,Half day excursion to Lothal,7054,2924,1009,2019-10-01T00:00:00,,,,0,0,12,,4813,7054,1,10,3500,0,,13,4,,0
Haryana,Gurgaon,Ramico Tours & Travels Pvt. Ltd.,Half day sightseeing tour of New Delhi,7132,2890,890,2019-10-01T00:00:00,"For Delhi sightseeing starting from Gurgaon, we have to ask Ramico for a guide ",,,,,447,,4854,7132,1,5,2000,0,,13,4,,0
Haryana,Gurgaon,Ramico Tours & Travels Pvt. Ltd.,Half day sightseeing tour of New Delhi,7132,2890,890,2019-10-01T00:00:00,"For Delhi sightseeing starting from Gurgaon, we have to ask Ramico for a guide ",,,,,447,,4855,7132,6,14,2600,0,,13,4,,0
Haryana,Gurgaon,Ramico Tours & Travels Pvt. Ltd.,Half day sightseeing tour of New Delhi,7132,2890,890,2019-10-01T00:00:00,"For Delhi sightseeing starting from Gurgaon, we have to ask Ramico for a guide ",,,,,447,,4856,7132,15,35,3450,0,,13,4,,0
