state,city,organisation,description,costservices_id,addressbook_id,services_id,wef,remarks,tourleaderfree,servicecharges,agentcharges,commissionontransport,cities_id,costservicesdistinct_id,costservicesothers_id,costservices_id,frompax,topax,costperperson,costpergroup,remarks,tourleaderfree,currencies_id,resident,tourleader,SpecialGst,nett
Andaman & Nicobar,Port Blair,Barefoot Group,Transfer from airport to Havelock Island by ferry boat,7446,2464,933,2020-10-01T00:00:00,"Pick up at Port Blair Airport + Drop at jetty to board ferry + Ferry ticket charges+ Pickup at Havelock jetty + Drop to Barefoot resort {11 kms}   Please note that upon arrival at Port Blair by flight, you can proceed straight to Havelock only if your flight lands at Port Blair before 12.00hrs,  as the last ferry from Port Blair to Havelock departs at 1345hrs. ",,0,0,0,174,1185,3947,7446,1,10,5100,0,Port Blair a/p to Havelock,0,13,4,0,,0
Andaman & Nicobar,Port Blair,Barefoot Group,Transfer from Havelock Island to Port Blair by ferry,7447,2464,934,2020-10-01T00:00:00,"Drop back to jetty at Havelock + Ferry ticket charges + Pickup from jetty at Port Blair + Drop to chosen hotel in Port Blair (within city limits) + Pickup from hotel (within city limits) + Drop to Airport  On the return journey, from Havelock to Port Blair, you may need to stay the previous night at Port Blair if your flight departs before 14:20hrs as earlier departures are not met in time by returning ferry from Havelock. ",,0,0,0,174,1186,3950,7447,1,10,4700,0,Havelock to Port Blair htl + htl to a/p,0,13,4,0,,0
Assam,Kaziranga,"Infinity Resort, Kaziranga",Morning and afternoon jeep safaris in Central and Western Range,7385,3180,970,2019-10-01T00:00:00,,,,,,217,,3854,7385,1,4,0,9325,jeep safari,0,13,4,0,,1
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Full day tour of Old Delhi by metro & rickshaw,6999,2170,1119,2019-10-01T00:00:00,,,,0,0,103,,3532,6999,1,10,695,0,,0,13,4,0,18,0
Delhi,Delhi,Jack's Adventures Pvt. Ltd.,Delhi by cycle (Yamuna Tour),6897,2918,1140,2019-10-01T00:00:00,,,,0,0,103,,3472,6897,1,10,1480,0,,0,13,4,0,,1
Delhi,Delhi,Jack's Adventures Pvt. Ltd.,Delhi by cycle (Nizamuddin tour),6898,2918,1237,2019-10-01T00:00:00,,,,0,0,103,,3473,6898,1,10,1480,0,,0,13,4,0,,1
Delhi,Delhi,Kaustubh Holidays Tours & Travels Pvt Ltd,Half-day tour of Old Delhi by metro & rickshaw,6995,2170,1038,2019-10-01T00:00:00,Red Fort is closed on Mondays,,,0,0,103,,3531,6995,1,14,695,,Auto charges+ Metro Fare + Rickshaw,0,13,4,0,18,0
Delhi,Delhi,Jack's Adventures Pvt. Ltd.,Delhi by cycle (Shah Jahan Tour),6896,2918,1115,2019-10-01T00:00:00,,,,,,103,,3471,6896,1,10,1480,0,,0,13,4,0,,1
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,6907,2924,302,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3491,6907,1,4,0,12000,One jeep,0,13,4,0,5,0
Gujarat,Sasangir,Indo West Tours,Jeep safari in Sasangir National Park,6907,2924,302,2019-10-01T00:00:00,"Safaris in Gir National Park are supposed to be booked 3 months prior to required safari dates. We have taken the highest safari rate, applicable for Festival Dates (Navratri/Diwali/Christmas & New Year) per safari for foreigners.  The park is open from 16 October to 15 June. Best time to visit is definitely late November to early March, when the temperature can drop to a cool 10°C. The summer months are scorching hot, with the temperature hitting 43°C.   ",,,,,368,,3492,6907,5,8,0,24000,Two jeeps,0,13,4,0,5,0
