Gulbarga,Karnataka,India,Hyderabad,Telangana,260,06:00,Bidar,1
Kanha,Madhya Pradesh,India,Kawardha,Chhattisgarh,144,04:00,,1
Kawardha,Chhattisgarh,India,Kanker,Chhattisgarh,240,05:30,,1
Raipur,Chhattisgarh,India,Kawardha,Chhattisgarh,136,03:00,,1
Raipur,Chhattisgarh,India,Kanker,Chhattisgarh,131,03:00,,1
Kanker,Chhattisgarh,India,Kawardha,Chhattisgarh,240,05:30,,1
Mumbai,Maharashtra,India,Nashik,Maharashtra,178,04:00,,1
Pune,Maharashtra,India,Mumbai,Maharashtra,164,03:30,,1
Pune,Maharashtra,India,Nashik,Maharashtra,214,05:00,,1
Pune,Maharashtra,India,Aurangabad,Maharashtra,234,05:00,,1
Nashik,Maharashtra,India,Mumbai,Maharashtra,178,04:00,,1
Nashik,Maharashtra,India,Aurangabad,Maharashtra,205,04:30,,1
Aurangabad,Maharashtra,India,Nashik,Maharashtra,205,04:30,,1
Bhubaneswar,Orissa,India,Puri,Orissa,107,03:00,Pipli Konarak,1
Bhubaneswar,Orissa,India,Gopalpur-on-Sea,Orissa,169,04:00,,1
Puri,Orissa,India,Gopalpur-on-Sea,Orissa,170,04:30,,1
Gopalpur-on-Sea,Orissa,India,Puri,Orissa,170,04:30,,1
Gopalpur-on-Sea,Orissa,India,Rayagada,Orissa,220,05:30,,1
Jeypore,Orissa,India,Rayagada,Orissa,129,03:30,,1
Lalkuan Jn,Uttarakhand,India,Nainital,Uttarakhand,61,02:00,,1
Lalkuan Jn,Uttarakhand,India,Ramgarh,Uttarakhand,72,02:30,,1
Lalkuan Jn,Uttarakhand,India,Binsar,Uttarakhand,120,04:30,,1
Lalkuan Jn,Uttarakhand,India,Corbett,Uttarakhand,78,02:00,,1
Kathgodam,Uttarakhand,India,Nainital,Uttarakhand,36,01:30,,1
Kathgodam,Uttarakhand,India,Ramgarh,Uttarakhand,47,02:00,,1
Kathgodam,Uttarakhand,India,Binsar,Uttarakhand,95,03:30,,1
Kathgodam,Uttarakhand,India,Corbett,Uttarakhand,66,02:00,,1
Nainital,Uttarakhand,India,Lalkuan Jn,Uttarakhand,61,02:00,,1
Nainital,Uttarakhand,India,Ramgarh,Uttarakhand,31,01:30,,1
Nainital,Uttarakhand,India,Binsar,Uttarakhand,92,03:30,,1
Nainital,Uttarakhand,India,Corbett,Uttarakhand,70,02:00,,1
Ramgarh,Uttarakhand,India,Lalkuan Jn,Uttarakhand,72,02:30,,1
Ramgarh,Uttarakhand,India,Nainital,Uttarakhand,31,01:30,,1
Ramgarh,Uttarakhand,India,Binsar,Uttarakhand,76,03:00,,1
Ramgarh,Uttarakhand,India,Corbett,Uttarakhand,101,03:30,,1
Binsar,Uttarakhand,India,Lalkuan Jn,Uttarakhand,120,04:30,,1
Binsar,Uttarakhand,India,Nainital,Uttarakhand,92,03:30,,1
Binsar,Uttarakhand,India,Ramgarh,Uttarakhand,76,03:00,,1
Binsar,Uttarakhand,India,Corbett,Uttarakhand,160,05:00,,1
Corbett,Uttarakhand,India,Lalkuan Jn,Uttarakhand,78,02:00,,1
Corbett,Uttarakhand,India,Nainital,Uttarakhand,70,02:00,,1
Corbett,Uttarakhand,India,Ramgarh,Uttarakhand,101,03:30,,1
Corbett,Uttarakhand,India,Binsar,Uttarakhand,160,05:00,,1
Haridwar,Uttarakhand,India,Corbett,Uttarakhand,176,05:00,,1
Haridwar,Uttarakhand,India,Dehra Dun,Uttarakhand,38,01:30,,1
Mussoorie,Uttarakhand,India,Dehra Dun,Uttarakhand,62,02:30,,1
Varanasi,Uttar Pradesh,India,Kushinagar,Uttar Pradesh,236,07:00,,1
Bagdogra,West Bengal,India,New Jalpaiguri,West Bengal,20,01:00,,1
Haridwar,Uttarakhand,India,Nainital,Uttarakhand,231,06:00,,1
Haridwar,Uttarakhand,India,Ramgarh,Uttarakhand,262,07:30,,1
Corbett,Uttarakhand,India,Dehra Dun,Uttarakhand,212,06:00,,1
Dehra Dun,Uttarakhand,India,Corbett,Uttarakhand,212,06:00,,1
Mussoorie,Uttarakhand,India,Corbett,Uttarakhand,259,07:30,,1
Bandhavgarh,Madhya Pradesh,India,Umaria,Madhya Pradesh,35,01:00,,1
Kanker,Chhattisgarh,India,Jagdalpur,Chhattisgarh,161,03:30,,1
Jagdalpur,Chhattisgarh,India,Kanker,Chhattisgarh,161,03:30,,1
Raipur,Chhattisgarh,India,Jagdalpur,Chhattisgarh,295,06:00,,1
Jagdalpur,Chhattisgarh,India,Jeypore,Orissa,87,02:30,,1
Jeypore,Orissa,India,Jagdalpur,Chhattisgarh,87,02:30,,1
Jeypore,Orissa,India,Gopalpur-on-Sea,Orissa,349,09:00,,0
Gopalpur-on-Sea,Orissa,India,Jeypore,Orissa,349,09:00,,0
Mumbai,Maharashtra,India,Aurangabad,Maharashtra,382,08:30,,0
Aurangabad,Maharashtra,India,Mumbai,Maharashtra,382,08:30,,0
Delhi,Delhi,India,Neemrana,Rajasthan,127,03:00,,1
Delhi,Delhi,India,Corbett,Uttarakhand,260,05:30,,1
Delhi,Delhi,India,Dehra Dun,Uttarakhand,272,06:00,,1
Delhi,Delhi,India,Nainital,Uttarakhand,285,06:30,,0
Delhi,Delhi,India,Ramgarh,Uttarakhand,316,07:30,,0
Badami,Karnataka,India,Vijayapura,Karnataka,124,03:00,,1
Badami,Karnataka,India,Mysore,Karnataka,530,10:30,,0
Badami,Karnataka,India,Madikeri,Karnataka,490,11:30,,0
Karwar,Karnataka,India,Vijayapura,Karnataka,371,08:00,,0
Karwar,Karnataka,India,Mysore,Karnataka,526,11:00,,0
Karwar,Karnataka,India,Madikeri,Karnataka,422,09:00,,0
Gokarna,Karnataka,India,Vijayapura,Karnataka,347,08:00,,0
Gokarna,Karnataka,India,Mysore,Karnataka,485,10:30,,0
Gokarna,Karnataka,India,Madikeri,Karnataka,380,08:30,,0
Mangalore,Karnataka,India,Vijayapura,Karnataka,556,12:00,,0
Mangalore,Karnataka,India,Mysore,Karnataka,252,06:00,,1
Mangalore,Karnataka,India,Madikeri,Karnataka,148,04:00,,1
Vijayapura,Karnataka,India,Mysore,Karnataka,603,11:00,,0
Vijayapura,Karnataka,India,Madikeri,Karnataka,614,12:30,,0
Gulbarga,Karnataka,India,Mysore,Karnataka,706,14:00,,0
Gulbarga,Karnataka,India,Madikeri,Karnataka,704,15:00,,0
Hospet,Karnataka,India,Mysore,Karnataka,409,07:30,,0
Hospet,Karnataka,India,Madikeri,Karnataka,408,09:00,,0
Hampi,Karnataka,India,Mysore,Karnataka,429,08:00,,0
Hampi,Karnataka,India,Madikeri,Karnataka,427,09:30,,0
Chikmagalur,Karnataka,India,Mysore,Karnataka,200,05:00,"Belur, Halebid",1
Chikmagalur,Karnataka,India,Madikeri,Karnataka,133,03:30,,1
Hassan,Karnataka,India,Mysore,Karnataka,116,03:00,,1
Hassan,Karnataka,India,Madikeri,Karnataka,101,03:00,,1
Bangalore,Karnataka,India,Mysore,Karnataka,149,04:00,,1
Bangalore,Karnataka,India,Madikeri,Karnataka,261,05:30,,1
Mysore,Karnataka,India,Madikeri,Karnataka,109,03:00,,1
Bandipur,Karnataka,India,Madikeri,Karnataka,199,04:30,,1
Nagarhole,Karnataka,India,Madikeri,Karnataka,101,03:00,,1
Siddhapura,Karnataka,India,Madikeri,Karnataka,29,01:00,,1
Kesroli,Rajasthan,India,Neemrana,Rajasthan,85,02:00,,1
Sariska,Rajasthan,India,Neemrana,Rajasthan,106,02:00,,1
Agra,Uttar Pradesh,India,Neemrana,Rajasthan,298,05:30,,1
Bharatpur,Rajasthan,India,Neemrana,Rajasthan,285,04:30,,1
Karauli,Rajasthan,India,Neemrana,Rajasthan,215,05:30,,1
Jaipur,Rajasthan,India,Neemrana,Rajasthan,148,02:30,,1
Sawai Madhopur,Rajasthan,India,Neemrana,Rajasthan,267,05:00,,1
Bundi,Rajasthan,India,Neemrana,Rajasthan,354,06:00,,0
Kota,Rajasthan,India,Neemrana,Rajasthan,392,07:00,,0
Barli,Rajasthan,India,Neemrana,Rajasthan,331,06:30,,0
Shahpura,Rajasthan,India,Neemrana,Rajasthan,367,06:30,,0
Samode,Rajasthan,India,Neemrana,Rajasthan,125,02:30,,1
Mandawa,Rajasthan,India,Neemrana,Rajasthan,151,04:00,,1
Kishangarh,Rajasthan,India,Neemrana,Rajasthan,249,04:00,,1
Ajmer,Rajasthan,India,Neemrana,Rajasthan,275,05:00,,1
Pushkar,Rajasthan,India,Neemrana,Rajasthan,289,05:30,,1
Nimaj,Rajasthan,India,Neemrana,Rajasthan,376,06:30,,0
Chandelao,Rajasthan,India,Neemrana,Rajasthan,443,08:00,,0
Jodhpur,Rajasthan,India,Neemrana,Rajasthan,499,08:30,,0
Rohet,Rajasthan,India,Neemrana,Rajasthan,480,08:00,,0
Deogarh,Rajasthan,India,Neemrana,Rajasthan,418,07:00,,0
Jojawar,Rajasthan,India,Neemrana,Rajasthan,435,08:00,,0
Narlai,Rajasthan,India,Neemrana,Rajasthan,483,08:30,,0
Ghanerao,Rajasthan,India,Neemrana,Rajasthan,483,08:30,,0
Ranakpur,Rajasthan,India,Neemrana,Rajasthan,498,09:00,,0
Kumbhalgarh,Rajasthan,India,Neemrana,Rajasthan,491,09:00,,0
Bikaner,Rajasthan,India,Neemrana,Rajasthan,432,07:30,,0
Gajner,Rajasthan,India,Neemrana,Rajasthan,379,07:30,,0
Khimsar,Rajasthan,India,Neemrana,Rajasthan,422,07:30,,0
Nagaur,Rajasthan,India,Neemrana,Rajasthan,376,06:30,,0
Osian,Rajasthan,India,Neemrana,Rajasthan,488,09:00,,0
Jaisalmer,Rajasthan,India,Neemrana,Rajasthan,710,12:00,,0
Bhenswara,Rajasthan,India,Neemrana,Rajasthan,545,09:30,,0
Mount Abu,Rajasthan,India,Neemrana,Rajasthan,639,11:00,,0
Dungarpur,Rajasthan,India,Neemrana,Rajasthan,645,12:00,,0
Dhariyawad,Rajasthan,India,Neemrana,Rajasthan,616,11:00,,0
Khempur,Rajasthan,India,Neemrana,Rajasthan,531,09:30,,0
Chittaurgarh,Rajasthan,India,Neemrana,Rajasthan,504,09:00,,0
Bijaipur,Rajasthan,India,Neemrana,Rajasthan,491,08:30,,0
Gulbarga,Karnataka,India,Vijayapura,Karnataka,150,03:30,,1
Hospet,Karnataka,India,Vijayapura,Karnataka,203,04:00,,1
Hampi,Karnataka,India,Vijayapura,Karnataka,198,04:00,,1
Chikmagalur,Karnataka,India,Vijayapura,Karnataka,517,10:30,,0
Hassan,Karnataka,India,Vijayapura,Karnataka,499,10:00,,0
Bangalore,Karnataka,India,Vijayapura,Karnataka,524,09:30,,0
Mysore,Karnataka,India,Vijayapura,Karnataka,603,11:00,,0
Bandipur,Karnataka,India,Vijayapura,Karnataka,694,13:00,,0
Nagarhole,Karnataka,India,Vijayapura,Karnataka,676,13:00,,0
Siddhapura,Karnataka,India,Vijayapura,Karnataka,614,12:30,,0
Madikeri,Karnataka,India,Vijayapura,Karnataka,614,12:30,,0
Bandipur,Karnataka,India,Mysore,Karnataka,87,02:00,,1
Nagarhole,Karnataka,India,Mysore,Karnataka,73,02:00,,1
Siddhapura,Karnataka,India,Mysore,Karnataka,95,02:30,,1
Madikeri,Karnataka,India,Mysore,Karnataka,109,03:00,,1
Sultan Battery,Kerala,India,Mysore,Karnataka,125,03:00,,1
Meppadi,Kerala,India,Mysore,Karnataka,147,03:30,,1
Kozhikode,Kerala,India,Mysore,Karnataka,212,05:30,,1
Neeleshwar,Kerala,India,Mysore,Karnataka,222,06:00,,1
Bekal,Kerala,India,Mysore,Karnataka,230,05:30,,1
Ootacamund,Tamil Nadu,India,Mysore,Karnataka,128,03:30,,1
Coonoor,Tamil Nadu,India,Mysore,Karnataka,150,04:00,,1
Coimbatore,Tamil Nadu,India,Mysore,Karnataka,199,06:00,,1
Sultan Battery,Kerala,India,Madikeri,Karnataka,149,04:30,,1
Meppadi,Kerala,India,Madikeri,Karnataka,151,05:00,,1
Kozhikode,Kerala,India,Madikeri,Karnataka,184,06:00,,1
Bekal,Kerala,India,Madikeri,Karnataka,126,03:30,,1
Neeleshwar,Kerala,India,Madikeri,Karnataka,128,03:30,,1
Ootacamund,Tamil Nadu,India,Madikeri,Karnataka,239,06:00,,0
Coonoor,Tamil Nadu,India,Madikeri,Karnataka,250,07:00,,0
