India,Uttar Pradesh,Agra,,,Atithi Hotel,Tourist Complex Area  Fatehabad Road,Agra,282 001,330 879-84,,,,562,13,,H,
India,West Bengal,Kolkata,,,Lytton Hotel,"14 & 14/1, Sudder Street",Kolkata,700 016,"3984 1900, 2249 1872-73",sales@lyttonhotelindia.com  resv@lyttonhotelindia.com,www.Lyttonhotel.com,,33,13,,H,
India,West Bengal,Kolkata,,,Lytton Hotel,"14 & 14/1, Sudder Street",Kolkata,700 016,"3984 1900, 2249 1872-73",sales@lyttonhotelindia.com  resv@lyttonhotelindia.com,www.Lyttonhotel.com,,33,13,,ST,2
India,West Bengal,Kolkata,,,Lytton Hotel,"14 & 14/1, Sudder Street",Kolkata,700 016,"3984 1900, 2249 1872-73",sales@lyttonhotelindia.com  resv@lyttonhotelindia.com,www.Lyttonhotel.com,,33,13,,RIK,
India,Uttarakhand,Corbett,Trailfinders Resorts Pvt. Ltd.,,Quality Inn Corbett Jungle Resort,"on U.P. State Highway 41  Kumeria Reserve Forest  Post Office: Mohan, Dist. Almora",Corbett,244 715,"52131, 51520, 51230, 53234","ctc_auli@mickyonline.com, mlaique@indiatimes.com",,,5947,13,,H,
India,West Bengal,Darjeeling,,,Bellevue Hotel,The Mall,Darjeeling,734 101,"54 075, 54 130",,,,354,13,,H,
India,Rajasthan,Daspan,Durjan Niwas Hotel,Durjan Niwas Hotel,Castle Durjan Niwas,Via Bhinmal  Dist. Jalore,Daspan,343 029,"73 523, 73 637",,,,2969,13,,H,
India,Delhi,Delhi,,,Jukaso Inn,"50, Sunder Nagar  ",New Delhi,110 003,"2435 0308, 2435 0309, 2435 0754",reservationdel@jukaso.co.in,,,11,13,,H,
India,Sikkim,Gangtok,,,Hotel Tibet,Paljor Stadium Road  ,Gangtok,737 101,"203468, 204962",htltibet@yahoo.com,www.sikkiminfo.net/hoteltibet,,3592,13,,H,
India,Rajasthan,Jaipur,,,Hotel Arya Niwas,Sansar Chandra Road  Behind Amber Tower,Jaipur,302 001,"407 3456, 407 3457",tarun@aryaniwas.com  reservation@aryaniwas.com  info@aryaniwas.com,www.aryaniwas.com,,141,13,,H,
