country,state,city,organisation,description,ranking,addressbook_id,organisation,address,city,postalcode,countries_id,phone,fax,pan,email,www,branch_cities_id,note,areacode,bank_addressbook_id,through_addressbook_id,mailto_addressbook_id,cities_id,states_id,currencies_id,web,company,taxno,IncludeInBalanceSheet,InvoiceTo_Addressbook_id,InvoiceOrderNo,rtgs_beneficiary,rtgs_BankAccountNo,rtgs_Bank,rtgs_BankAddress,rtgs_BankBranchCode,rtgs_RtgsBankCode,CountryCode,MailExcel,CompositeReportTypes_id,IndiaOffice,org_mobile,PrintCo,VendorPaymentTerms_id,ServiceTaxRegnNo,Gstin,inv_prefix,ModifiedByUsers_id,ModifiedOn,ReverseCharge,DebitAccountHeads_id,CreditAccountHeads_id,GstVendorTypes_id
India,Rajasthan,Jaipur,Hotel Arya Niwas,Agents,NULL,13,Hotel Arya Niwas,Sansar Chandra Road  Behind Amber Tower,Jaipur,302 001,200,"407 3456, 407 3457",236 1871,AABHS6166E,tarun@aryaniwas.com  reservation@aryaniwas.com  info@aryaniwas.com,www.aryaniwas.com,NULL,,141,NULL,NULL,NULL,176,27,13,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,AABHS6166EST001,08AABHS6166E1Z2,NULL,4,12/01/20 00:00,0,NULL,NULL,1
India,Tamil Nadu,Mamallapuram,Ideal Beach Resort,Agents,NULL,28,Ideal Beach Resort,East Coast Road,Mamallapuram,603 104,200,"27442240, 27442443",27442243,AAAFI1860N,reservation@idealresort.com,www.idealresort.com,NULL,,44,NULL,374,NULL,259,29,13,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,33AAAFI1860N1ZE,NULL,24,07/10/19 00:00,0,NULL,NULL,NULL
India,Rajasthan,Mandawa,Desert Resort,Agents,NULL,53,Desert Resort,Shekhavati  Dist. Jhunjhunu  ,Mandawa,333 704,200,"223 151, 223 245, 223 514",223 515,ABXPD6162A,reservation@castlemandawa.com  anngadmandawa@castlemandawa.com,www.mandawahotels.com,NULL,,1592,NULL,928,928,265,27,13,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,08ABXPD6162A1ZO,NULL,4,09/09/20 00:00,0,NULL,NULL,1
India,Uttar Pradesh,Khajuraho,Travel Bureau,Agents,NULL,65,Travel Bureau,Hotel Holiday Inn  Airport Road  ,Khajuraho,471 606,200,"274037, 274387",274037,,tbhjr@sancharnet.in,,NULL,,7686,NULL,775,NULL,154,31,13,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
India,West Bengal,Kolkata,Travel Bureau,Agents,NULL,66,Travel Bureau,"3rd Floor, Suite No. 21  9, Crooked Lane   Near Amber Restaurant  ",Kolkata,700 069,200,"22487442, 22481456",22487442,,travelb@cal.vsnl.net.in,,NULL,,33,NULL,775,NULL,69,32,13,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
India,Maharashtra,Aurangabad,Aurangabad Tours & Travels P.Ltd.,Agents,NULL,67,Aurangabad Tours & Travels P.Ltd.,"Flat No. 105, Ajay Deep Complex  119-A, N-3, CIDCO  Juna Bazar",Aurangabad,431 210,200,234 1431,2484 597,,salim@aurangabadtours.net,,NULL,,240,NULL,NULL,NULL,173,20,13,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,,0,NULL,NULL,NULL,NULL,4,18/05/18 00:00,0,NULL,NULL,NULL
India,Goa,Goa,Odyssey Tours & Travels Pvt Ltd,Agents,NULL,68,Odyssey Tours & Travels Pvt Ltd,Boa Viagem Road  2/286 Naikavaddo,Calangute,403 516,200,"298 8061, 298 8062",227 7124,,res@odyssey.co.in,www.travellers-palm.com,NULL,,832,NULL,NULL,NULL,139,10,13,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"227 7720, 227 6941",1,NULL,NULL,NULL,NULL,26,15/01/20 00:00,0,NULL,NULL,NULL
India,Maharashtra,Nagpur,Khemka Travels,Agents,NULL,70,Khemka Travels,"5, Residency Road  Sadar",Nagpur,440 001,200,"2521273, 2533273, 3105444",2542371,,vinod@khemkatravels.com  vinod_ngp@rediffmail.com,www.khemkatravels.com,NULL,,712,NULL,NULL,NULL,294,20,13,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
India,Assam,Kaziranga,Wild Grass Resort,Agents,NULL,87,Wild Grass Resort,Kaziranga,Kaziranga,785 109,200,262085,,AAACW5122C,wildgrasskaziranga@gmail.com,www.oldassam.com,NULL,,3776,NULL,271,NULL,217,4,13,1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,18AAACW5122C2ZP,NULL,24,11/02/19 00:00,0,NULL,NULL,1
India,Goa,Goa,Travel Corporation of India Ltd,Agents,NULL,133,Travel Corporation of India Ltd,Citi Centre  19 Patto Plaza,Panjim,403 001,200,2438 917 / 22 / 23 / 27 / 41,,,,,NULL,flight reservations ph: 2438917,832,NULL,NULL,NULL,139,10,13,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
