vehicles_id,vehicle,pax,vehiclecategories_id,image,vehicle_plural,SeatingCapacity,ModifiedByUsers_id,ModifiedOn
3,Tempo Traveller,9,1,tempo-traveller.jpg,Tempo Travellers,11,,
4,Large Coach,34,1,,Large Coaches,,,
7,Tata Sumo,4,1,tata-sumo.jpg,Tata Sumos,,,
8,Contessa,3,2,contessa.jpg,Contessas,,,
12,Ambassador,2,1,ambassador.jpg,Ambassadors,3,,
14,Mini Coach,17,1,,Mini Coaches,20,,
16,Jeep,4,1,,Jeeps,,,
17,Small Truck for cycl,0,1,,Small Truck for cycl,,,
18,Large Truck for cycl,0,1,,Large Truck for cycl,,,
19,Esteem,3,2,esteem.jpg,Esteems,,,
20,Cielo,3,2,cielo.gif,Cielos,,,
21,Mercedes,3,3,mercedes.gif,Mercedes,,,
23,Maruti Van,3,1,maruti-van.jpg,Maruti Vans,,,
24,Mitsubishi Lancer,3,2,ford-lancer.gif,Mitsubishi Lancers,,,
25,Honda City,3,2,honda-city.gif,Honda Cities,,,
26,Toyota Corolla,3,2,,Toyota Corollas,,,
27,Opel Astra,3,2,opel-astra.jpg,Opel Astras,,,
29,Canter,20,1,,Canters,,,
32,Tata Estate,4,1,,Tata Estates,,,
33,Maruti 1000,3,2,,Maruti 1000s,,,
34,Siena,3,2,fiat-siena.gif,Sienas,,,
35,BMW,3,3,bmw.gif,BMWs,,,
36,Toyota Qualis,4,2,toyota-qualis.jpg,Toyota Qualis,8,,
37,Indica,2,1,tata-indica.gif,Indicas,,,
38,Ford Ikon,3,2,ford-ikon.gif,Ford Ikons,,,
39,Hyundai Accent,3,2,,Hyundai Accents,,,
40,Toyota Innova,4,2,,Toyota Innovas,6,,
41,Tata Indigo,4,1,,Tata Indigos,3,,
42,Standard Car,2,1,,Standard Cars,3,,
43,Premium Car,3,2,,Premium Cars,,,
44,Luxury Car,2,2,,Lancer,,,
45,Sonata,3,2,,Sonata,4,,
46,Tavera,4,2,,Taveras,6,,
47,Maruti Swift,2,1,,Maruti Swift,3,,
50,Scorpio,4,2,,Scorpios,6,,
51,Ferry,10,1,,Ferries,10,,
52,Bolero Camper,7,1,,Bolero Camper,7,,
53,Large Car,5,2,,Large Cars,4,4,08/08/18 00:00
54,Toyota Crysta,4,2,,Toyota Innova Crystas,6,4,21/12/20 00:00
